X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.38103840599,34.0762193663517,45,211,,Health and Mental Health,Hospitals and Medical Centers,Disaster Resource Center,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,46,211,,Health and Mental Health,Hospitals and Medical Centers,STEMI,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,47,211,,Health and Mental Health,Hospitals and Medical Centers,Stroke,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-118.38103840599,34.0762193663517,48,211,,Health and Mental Health,Hospitals and Medical Centers,Perinatal,Cedars Sinai Medical Group,Cedars-Sinai Medical Center,8700 Beverly Blvd.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency Room open 24 hours a day.","Emergency Medical Service Service/Intake (310) 423-8605, Main Operator Service/Intake and Administration (310) 423-3277, Breastfeeding Hotline Information Only (800) 972-6003, Breastfeeding Education Service/Intake (310) 423-5312, Community Health Educati",http://www.csmc.edu/,,,571,"Cedars-Sinai is one of the largest nonprofit academic medical centers in the U.S. with 886 licensed beds, 2,100 physicians, 2,800 nurses and thousands of other healthcare professionals and staff. Clinical programs range from primary care for preventing, diagnosing and treating common conditions to specialized treatments for rare, complex and advanced illnesses. In addition, Cedars-Sinai serves the community through its Medical Network, which includes the highly rated Cedars-Sinai Medical Group and Cedars-Sinai Health Associates

&nbsp;",90048,http://egis3.lacounty.gov/lms/?p=571,publish,34.0762194,-118.38103835,2016/01/21 17:44:12+00,,,6446282.53644839,1850336.80189948
-117.893412256815,34.0880210367987,50,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,Citrus Valley Health Partners,Citrus Valley Health Partners - Citrus Valley Medical Center - Intercommunity Campus,210 San Bernardino Rd.,,Covina,CA,"Monday through Friday, 7:00am to 5:30pm.
Emergency room hours are 24 hours a day.","Service/Intake (626) 331-7331
Parkside West Mental Health Unit Service/Intake (626) 938-7650, Breastfeeding Classes Information Only (626) 814-2479.

",http://www.cvhp.org/Our-Facilities/Inter-Community.aspx,,,572,"<strong>Citrus Valley Medical Center </strong><strong>- Inter-Community Campus</strong> has been providing health care services to the community since 1922. The nonprofit 193-bed facility in Covina provides high-quality health care to the East San Gabriel Valley with a wide range of medical, surgical and specialty services",91723,http://egis3.lacounty.gov/lms/?p=572,publish,34.08802107,-117.8934122,2016/01/22 10:14:42+00,,,6593943.2545778,1854430.06667881
-117.893412256815,34.0880210367987,51,211,,Health and Mental Health,Hospitals and Medical Centers,STEMI,Citrus Valley Health Partners,Citrus Valley Health Partners - Citrus Valley Medical Center - Intercommunity Campus,210 San Bernardino Rd.,,Covina,CA,"Monday through Friday, 7:00am to 5:30pm.
Emergency room hours are 24 hours a day.","Service/Intake (626) 331-7331
Parkside West Mental Health Unit Service/Intake (626) 938-7650, Breastfeeding Classes Information Only (626) 814-2479.

",http://www.cvhp.org/Our-Facilities/Inter-Community.aspx,,,572,"<strong>Citrus Valley Medical Center </strong><strong>- Inter-Community Campus</strong> has been providing health care services to the community since 1922. The nonprofit 193-bed facility in Covina provides high-quality health care to the East San Gabriel Valley with a wide range of medical, surgical and specialty services",91723,http://egis3.lacounty.gov/lms/?p=572,publish,34.08802107,-117.8934122,2016/01/22 10:14:42+00,,,6593943.2545778,1854430.06667881
-118.043435956516,34.0477659570071,54,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,American Hospital Management Company (AHMC),Greater El Monte Community Hospital,1701 Santa Anita Ave.,,South El Monte,CA,"Monday through Friday, 7:00am to 6:00pm.  Emergency Room open 24 hours","FAX (626) 350-0368,  Service/Intake (626) 579-7777",http://www.greaterelmonte.com,,,573,"<div class=""title-text"">Greater El Monte Community Hospital has provided health care to the community for over 30 years. We are fully-accredited by The Joint Commission and American Heart Association Certified.</div>",91733,http://egis3.lacounty.gov/lms/?p=573,publish,34.04776599,-118.0434359,2016/01/22 16:17:17+00,,,6548512.36348438,1839766.20000923
-118.265746295854,34.0373643265048,65,211,,Health and Mental Health,Hospitals and Medical Centers,Trauma Center,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.265746295854,34.0373643265048,66,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.265746295854,34.0373643265048,67,211,,Health and Mental Health,Hospitals and Medical Centers,EDAP-PMC,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.265746295854,34.0373643265048,68,211,,Health and Mental Health,Hospitals and Medical Centers,Acute Care,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.265746295854,34.0373643265048,69,211,,Health and Mental Health,Hospitals and Medical Centers,Base Hospital,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.265746295854,34.0373643265048,70,211,,Health and Mental Health,Hospitals and Medical Centers,Disaster Resource Center,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.265746295854,34.0373643265048,71,211,,Health and Mental Health,Hospitals and Medical Centers,Perinatal,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.291012696636,34.0980187969769,79,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,LA County,Children's Hospital Los Angeles,4650 Sunset Blvd,Mail Stop #59,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency room open 24 hours per day.","Project NATEEN - pregnant/parenting teen case mgmt Service/Intake (323) 361-5981, Adolescent Medicine Service/Intake (323) 361-2390, Psychiatry Services Service/Intake (323) 361-3430, Social Work Service/Intake and Administration (323) 361-2485, Adolescen",http://www.chla.org/,,,576,"Children's Hospital Los Angeles (CHLA) is a 501(c)(3) nonprofit institution that provides pediatric health care to more than 107,000 children each year in a setting designed just for their needs. Our history began in 1901 in a small house on the corner of Alpine and Castelar Streets (now Hill St. in Chinatown) and continues today with an urban campus that is home to medical experts who have developed more than 350 pediatric specialty programs and services to meet the needs of our patients.",90027,http://egis3.lacounty.gov/lms/?p=576,publish,34.09801883,-118.29101264,2016/01/22 10:03:15+00,,,6473567.41691789,1858178.8587219
-118.291012696636,34.0980187969769,80,211,,Health and Mental Health,Hospitals and Medical Centers,EDAP-PMC,LA County,Children's Hospital Los Angeles,4650 Sunset Blvd,Mail Stop #59,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency room open 24 hours per day.","Project NATEEN - pregnant/parenting teen case mgmt Service/Intake (323) 361-5981, Adolescent Medicine Service/Intake (323) 361-2390, Psychiatry Services Service/Intake (323) 361-3430, Social Work Service/Intake and Administration (323) 361-2485, Adolescen",http://www.chla.org/,,,576,"Children's Hospital Los Angeles (CHLA) is a 501(c)(3) nonprofit institution that provides pediatric health care to more than 107,000 children each year in a setting designed just for their needs. Our history began in 1901 in a small house on the corner of Alpine and Castelar Streets (now Hill St. in Chinatown) and continues today with an urban campus that is home to medical experts who have developed more than 350 pediatric specialty programs and services to meet the needs of our patients.",90027,http://egis3.lacounty.gov/lms/?p=576,publish,34.09801883,-118.29101264,2016/01/22 10:03:15+00,,,6473567.41691789,1858178.8587219
-118.291012696636,34.0980187969769,81,211,,Health and Mental Health,Hospitals and Medical Centers,Disaster Resource Center,LA County,Children's Hospital Los Angeles,4650 Sunset Blvd,Mail Stop #59,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm.  Emergency room open 24 hours per day.","Project NATEEN - pregnant/parenting teen case mgmt Service/Intake (323) 361-5981, Adolescent Medicine Service/Intake (323) 361-2390, Psychiatry Services Service/Intake (323) 361-3430, Social Work Service/Intake and Administration (323) 361-2485, Adolescen",http://www.chla.org/,,,576,"Children's Hospital Los Angeles (CHLA) is a 501(c)(3) nonprofit institution that provides pediatric health care to more than 107,000 children each year in a setting designed just for their needs. Our history began in 1901 in a small house on the corner of Alpine and Castelar Streets (now Hill St. in Chinatown) and continues today with an urban campus that is home to medical experts who have developed more than 350 pediatric specialty programs and services to meet the needs of our patients.",90027,http://egis3.lacounty.gov/lms/?p=576,publish,34.09801883,-118.29101264,2016/01/22 10:03:15+00,,,6473567.41691789,1858178.8587219
-118.186743556181,33.808107267285,90,211,,Health and Mental Health,Hospitals and Medical Centers,911 Receiving,Memorial Care Health Systems,Long Beach Memorial Medical Center,2801 Atlantic Ave,,Long Beach,CA,Hospital hours are 8:00am to 9:00pm. Emergency room hours are 24 hours per day,"General Phone number (562) 933-2000 
Emergency Department
(562) 933-1400 ",http://memorialcare.org/locations/search/adult-service/long-beach-memorial,,,577,"MemorialCare Health System offers an extensive network of compassionate care with advanced technology, leading hospitals and top docLong Beach Memorial Medical Center has been recognized as a major regional provider of medical and surgical services. Long Beach Memorial consistently achieves national accolades for its quality care, including being named as one of the U.S. top 125 hospitals by Consumers’ CHECKBOOK; named Top 100 Hospitals Cardiovascular by Thomson Reuters; and named one of “America’s Best Hospitals” for Orthopedics by U.S. News &amp; World Report magazine. Our state-of-the-art electronic medical record system ensures our patients receive the best, safest possible care.ors across the Southland.",90806,http://egis3.lacounty.gov/lms/?p=577,publish,33.8081073,-118.1867435,2016/01/25 13:37:43+00,,,6504938.42963505,1752598.80807139
