,text,sentence,start_token,end_token,mention_type,label,grounding_id
10,a,"Projections and fractional dynamics of COVID-19 with optimal control strategies * a , c Khondoker Nazmoon Nabi , Pushpendra Kumar b , Vedat Suat Erturk",11,12,TextBoundMention,Identifier,
11,1] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",9,22,RelationMention,ParameterSetting,
12,government oﬃcials,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",21,25,RelationMention,Description,
13,Mathematical models,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",0,2,TextBoundMention,Model,
14,decades,"Generally , an effective vaccine would take years , if not decades , to develop .",11,12,TextBoundMention,Phrase,
15,effective vaccine,"Generally , an effective vaccine would take years , if not decades , to develop .",3,5,TextBoundMention,Phrase,"(vaccine effectiveness, vo:0000860, 0.86), (vaccine efficacy, vo:0000247, 0.85), (prophylactic vaccine, vo:0000455, 0.82), (VRC-SRSDNA015-00-VP vaccine, vo:0005146, 0.82), (MVvac2-MERS-solS vaccine, vo:0005140, 0.82)"
16,years,"Generally , an effective vaccine would take years , if not decades , to develop .",7,8,TextBoundMention,Phrase,"(persons aged 6 months--24 years, vo:0001100, 0.77)"
17,develop,"Generally , an effective vaccine would take years , if not decades , to develop .",14,15,TextBoundMention,Phrase,
18,ﬁ,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",18,19,TextBoundMention,Parameter,
19,spread of the virus,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",22,26,TextBoundMention,Parameter,"(Aphalangy of the hands, hp:0005886, 0.80), (Pseudoepiphyses of the middle phalanges of the hand, hp:0010264, 0.78), (Abnormality of the curvature of the cornea, hp:0100691, 0.77), (Radial deviation of the hand or of fingers of the hand, hp:0009485, 0.77), (Fragmentation of the epiphyses of the middle phalanges of the hand, hp:0010261, 0.76)"
20,1–5,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",34,37,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.93), (zygodactyly 1, doid:0111820, 0.93), (omodysplasia 1, doid:0080844, 0.93), (fibrochondrogenesis 1, doid:0080672, 0.93), (hyperalphalipoproteinemia 1, doid:0111369, 0.87)"
21,compartmental mathematical model,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",22,25,TextBoundMention,Model,
22,Lack,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,0,1,TextBoundMention,Phrase,"(LACK, vo:0011260, 1.00)"
23,upcoming days,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,9,11,TextBoundMention,Phrase,
24,vital issue,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,6,8,TextBoundMention,Phrase,
25,be,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,4,5,TextBoundMention,Phrase,
26,general people,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,20,22,TextBoundMention,Phrase,
27,false sense,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,13,15,TextBoundMention,Phrase,
28,transparency,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,2,3,TextBoundMention,Phrase,
29,does,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,25,26,TextBoundMention,Phrase,
30,vaccine,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,24,25,TextBoundMention,Phrase,"(VRC-SRSDNA015-00-VP vaccine, vo:0005146, 1.00), (MVvac2-MERS-solS vaccine, vo:0005140, 1.00), (MVA-MERS vaccine, vo:0005137, 1.00), (Ad41.MERS vaccine, vo:0005136, 1.00), (ChAdOx1-MERS-S vaccine, vo:0005135, 1.00)"
31,security,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,16,17,TextBoundMention,Phrase,
32,always provide considerable insights of the transmission dynamics and complexities of any infectious diseases,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",3,17,TextBoundMention,VerbPhrase,"(process of establishing an infection, ido:0000603, 0.80), (evidence of biological plausity of adverse event causality, oae:0001337, 0.79), (belief in likelihood of causal connection between two processes, oae:0000991, 0.79), (contributes to frequency of condition, ro:0003306, 0.77), (belief in likelihood of causal connection between medical intervention and adverse event, oae:0000997, 0.77)"
33,help,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",20,21,TextBoundMention,VerbPhrase,
34,COVID-19 outbreak,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",5,7,TextBoundMention,Phrase,"(severe COVID-19, doid:0081013, 0.75)"
35,limiting,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",21,22,TextBoundMention,Phrase,
36,spread,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",23,24,TextBoundMention,Phrase,"(droplet spread transmission, trans:0000008, 0.87), (cyclodevelopmental transmission, trans:0000030, 0.78), (cyclopropagative transmission, trans:0000029, 0.78)"
37,tremendous contributions,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",18,20,TextBoundMention,Phrase,
38,mathematicians,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",8,9,TextBoundMention,Phrase,
39,coronavirus,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",26,27,TextBoundMention,Phrase,"(coronavirus vaccine, vo:0004897, 0.78)"
40,different parts,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",28,30,TextBoundMention,Phrase,
41,world,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",32,33,TextBoundMention,Phrase,
42,are,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",11,12,TextBoundMention,Phrase,
43,researchers,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",10,11,TextBoundMention,Phrase,
44,done,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",17,18,TextBoundMention,Phrase,
45,have,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",15,16,TextBoundMention,Phrase,
46,beginning,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",2,3,TextBoundMention,Phrase,
47,"From the beginning of the COVID-19 outbreak, mathematicians and researchers","From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",0,11,RelationMention,Context,
48,in different parts of the world,"From the beginning of the COVID-19 outbreak , mathematicians and researchers are working relentlessly and have already done tremendous contributions in limiting the spread of the coronavirus in different parts of the world [ 1 - 5 ] .",27,33,RelationMention,Context,
49,Mathematical models,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",0,2,TextBoundMention,Phrase,
50,considerable insights of the transmission dynamics and complexities of any infectious diseases,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",5,17,TextBoundMention,Phrase,"(evidence of biological plausity of adverse event causality, oae:0001337, 0.77), (Asymmetry of the shape of the ears, hp:0040092, 0.77), (Osteoarthritis of the small joints of the hand, hp:0004268, 0.76), (Abnormality of the curvature of the cornea, hp:0100691, 0.76), (process of establishing an infection, ido:0000603, 0.76)"
51,overall epidemic planning,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",26,29,TextBoundMention,Phrase,
52,government oﬃcials,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",21,25,TextBoundMention,Phrase,
53,which,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",18,19,TextBoundMention,Phrase,"(during which exists, bfo:0000157, 0.76)"
54,6,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",7,8,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.85), (omodysplasia 2, doid:0080845, 0.79), (fibrochondrogenesis 2, doid:0080673, 0.79), (digit 1 or 5, uberon:0019221, 0.78), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
55,bring,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",37,38,TextBoundMention,VerbPhrase,
56,proposing,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",20,21,TextBoundMention,VerbPhrase,
57,concluded,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",26,27,TextBoundMention,VerbPhrase,
58,projected,"On the other hand , Nabi [ 6 ] projected the future dynamics of COVID-19 for various COVID-19 hotspots by proposing a compartmental mathematical model and concluded that early relaxation of lockdown measures and social distancing could bring a second wave in no time .",9,10,TextBoundMention,VerbPhrase,
59,mea,"Importantly , mathematical analysis always plays a notable role in making vital public health decisions , resource allocation and implementation of social distancing mea - sures and other non-pharmaceutical interventions .",23,24,TextBoundMention,Identifier,
60,sures,"Importantly , mathematical analysis always plays a notable role in making vital public health decisions , resource allocation and implementation of social distancing mea - sures and other non-pharmaceutical interventions .",25,26,TextBoundMention,Identifier,
61,inhabitants,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",6,7,TextBoundMention,Phrase,
62,prolonged lockdown measures,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",17,20,TextBoundMention,Phrase,
63,reality,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",4,5,TextBoundMention,Phrase,
64,containment measures,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",13,15,TextBoundMention,Phrase,
65,compelled,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",10,11,TextBoundMention,Phrase,
66,severe economic recession,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",21,24,TextBoundMention,Phrase,
67,several countries,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",8,10,TextBoundMention,Phrase,
68,matter,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",2,3,TextBoundMention,Phrase,
69,3,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",25,26,TextBoundMention,Phrase,"(omodysplasia 2, doid:0080845, 0.85), (fibrochondrogenesis 2, doid:0080673, 0.85), (SG33-VP2/5, vo:0004706, 0.83), (zygodactyly 1, doid:0111820, 0.82), (omodysplasia 1, doid:0080844, 0.82)"
70,due,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",15,16,TextBoundMention,Phrase,
71,violate,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",12,13,TextBoundMention,Phrase,
72,are,"As worldwide distribution of COVID-19 vaccines is indeed a tedious process , nonpharmaceutical intervention strategies are the realistic and effective solutions to control the new spikes of cases .",15,16,TextBoundMention,VerbPhrase,
73,is,"As worldwide distribution of COVID-19 vaccines is indeed a tedious process , nonpharmaceutical intervention strategies are the realistic and effective solutions to control the new spikes of cases .",6,7,TextBoundMention,VerbPhrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
74,control,"As worldwide distribution of COVID-19 vaccines is indeed a tedious process , nonpharmaceutical intervention strategies are the realistic and effective solutions to control the new spikes of cases .",22,23,TextBoundMention,VerbPhrase,
75,compelled,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",10,11,TextBoundMention,VerbPhrase,
76,violate,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",12,13,TextBoundMention,VerbPhrase,
77,1,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",9,10,TextBoundMention,Value,"(zygodactyly 1, doid:0111820, 1.00), (omodysplasia 1, doid:0080844, 1.00), (fibrochondrogenesis 1, doid:0080672, 1.00), (hyperalphalipoproteinemia 1, doid:0111369, 0.89), (omodysplasia 2, doid:0080845, 0.86)"
78,have,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,2,3,TextBoundMention,Phrase,
79,Mass-vaccination campaigns,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,0,2,TextBoundMention,Phrase,
80,coronavirus,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,10,11,TextBoundMention,Phrase,"(coronavirus vaccine, vo:0004897, 0.78)"
81,several countries,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,7,9,TextBoundMention,Phrase,
82,launched,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,5,6,TextBoundMention,Phrase,
83,been,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,4,5,TextBoundMention,Phrase,
84,showed,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",11,12,TextBoundMention,VerbPhrase,
85,developing,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",23,24,TextBoundMention,VerbPhrase,
86,masks,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",25,26,TextBoundMention,Phrase,
87,aversion,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",23,24,TextBoundMention,Phrase,"(Oral aversion, hp:0012523, 0.79)"
88,continuous spikes,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",16,18,TextBoundMention,Phrase,
89,best health care systems,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",5,9,TextBoundMention,Phrase,
90,daily cases,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",19,21,TextBoundMention,Phrase,
91,world,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",11,12,TextBoundMention,Phrase,
92,is,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",13,14,TextBoundMention,Phrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
93,due,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",21,22,TextBoundMention,Phrase,
94,Netherlands,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",0,1,TextBoundMention,Phrase,
95,grappling,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",14,15,TextBoundMention,Phrase,
96,USA,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",36,37,TextBoundMention,Location,"(USA, vo:0010633, 1.00)"
97,expressed,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",5,6,TextBoundMention,VerbPhrase,"(expresses, ro:0002292, 0.77)"
98,have,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",4,5,TextBoundMention,VerbPhrase,
99,take,"Generally , an effective vaccine would take years , if not decades , to develop .",6,7,TextBoundMention,VerbPhrase,
100,develop,"Generally , an effective vaccine would take years , if not decades , to develop .",14,15,TextBoundMention,VerbPhrase,
101,Netherlands,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",0,1,TextBoundMention,Location,
102,agentbased model,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",25,27,TextBoundMention,Model,
103,in several countries compelled,"As a matter of reality , inhabitants in several countries compelled to violate containment measures due to prolonged lockdown measures and severe economic recession [ 3 ] .",7,11,RelationMention,Context,
104,showed,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",7,8,TextBoundMention,VerbPhrase,
105,reduce,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",27,28,TextBoundMention,VerbPhrase,
106,signi,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",17,18,TextBoundMention,VerbPhrase,
107,limit,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",20,21,TextBoundMention,VerbPhrase,
108,cacy,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",12,13,TextBoundMention,Identifier,
109,e,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",10,11,TextBoundMention,Identifier,"(LolC/E, vo:0010921, 1.00), (ALVAC-WNV-prM/E, vo:0004731, 1.00), (AIDSVAX B/E, vo:0000406, 0.77), (hepatitis E, doid:4411, 0.75), (E protein, vo:0011311, 0.75)"
110,having,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",1,2,TextBoundMention,VerbPhrase,
111,is,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",13,14,TextBoundMention,VerbPhrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
112,grappling,"Netherlands having one of the best health care systems in the world , is grappling with continuous spikes in daily cases due to aversion to masks .",14,15,TextBoundMention,VerbPhrase,
113,amid coronavirus,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,9,11,RelationMention,Context,
114,in several countries,Mass-vaccination campaigns have already been launched in several countries amid coronavirus surges .,6,9,RelationMention,Context,
115,o,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",22,23,TextBoundMention,Identifier,
116,cials,"Mathematical models can always provide considerable insights of the transmission dynamics and complexities of any infectious diseases , which eventually help government o ffi cials design overall epidemic planning .",24,25,TextBoundMention,Identifier,
117,false,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,13,14,TextBoundMention,Identifier,
118,be,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,4,5,TextBoundMention,VerbPhrase,
119,evolve,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,18,19,TextBoundMention,VerbPhrase,
120,work,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,27,28,TextBoundMention,VerbPhrase,
121,does,Lack of transparency could be a vital issue in upcoming days and a false sense of security could evolve among general people if the vaccine does not work effectively .,25,26,TextBoundMention,VerbPhrase,
122,virus variants,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",19,21,TextBoundMention,Phrase,"(Onyong-nyong virus, ncbitaxon:2169701, 0.83), (Influenza virus gene, vo:0000185, 0.79), (Dengue virus gene, vo:0000188, 0.78), (ick-borne Encephalitis Virus C protein mutant vaccine, vo:0002995, 0.77), (Rabies virus gene, vo:0001443, 0.77)"
123,expressed,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",5,6,TextBoundMention,Phrase,"(expresses, ro:0002292, 0.77)"
124,eﬃcacy,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",10,13,TextBoundMention,Phrase,
125,have,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",4,5,TextBoundMention,Phrase,
126,approved vaccines potential emergence,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",14,18,TextBoundMention,Phrase,"(licensed human vaccine role, vo:0000489, 0.77), (licensed human vaccine, vo:0000635, 0.76), (licensed vaccine role, vo:0000630, 0.76)"
127,many scientists,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",2,4,TextBoundMention,Phrase,
128,concerns,"However , many scientists have expressed their concerns regarding the e ffi cacy of approved vaccines potential emergence of virus variants .",7,8,TextBoundMention,Phrase,
129,USA,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",36,37,TextBoundMention,Identifier,"(USA, vo:0010633, 1.00)"
130,ﬁ,"In another study , Ngonghala et al. showed that effective and comprehensive usage of face coverings can signi fi cantly limit the spread of the virus and reduce the COVID-induced mortality in different states of the USA in general in the absence of community lockdown measures and stringent social distancing practice .",18,19,TextBoundMention,Identifier,
131,on COVID-19 mortality,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",19,22,RelationMention,Context,
132,In an early contribution,"In an early contribution , Ferguson et al. [ 1 ] showed the impact of different non-pharmaceutical intervention strategies on COVID-19 mortality by developing an agentbased model .",0,4,RelationMention,Context,
